7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.1.50	Thus, a museum of natural sciences might contain any of the items listed above.
7.1.51	Figure 1.4
7.1.52	The diversity of scientific fields includes astronomy, biology, computer science, geology, logic, physics, chemistry, mathematics, and many other fields.
7.1.53	(credit:
7.1.54	“Image Editor”/Flickr)
7.1.55	There is no complete agreement when it comes to defining what the natural sciences include, however.
7.1.56	For some experts, the natural sciences are astronomy, biology, chemistry, earth science, and physics.
7.1.57	Other scholars choose to divide natural sciences into life sciences, which study living things and include biology, and physical sciences, which study nonliving matter and include astronomy, geology, physics, and chemistry.
7.1.58	Some disciplines such as biophysics and biochemistry build on both life and physical sciences and are interdisciplinary.
7.1.59	Natural sciences are sometimes referred to as “hard science” because they rely on the use of quantitative data; social sciences that study society and human behavior are more likely to use qualitative assessments to drive investigations and findings.
7.1.60	Not surprisingly, the natural science of biology has many branches or subdisciplines.
7.1.61	Cell biologists study cell structure and function, while biologists who study anatomy investigate the structure of an entire organism.
7.1.62	Those biologists studying physiology, however, focus on the internal functioning of an organism.
7.1.63	Some areas of biology focus on only particular types of living things.
7.1.64	For example, botanists explore plants, while zoologists specialize in animals.
7.1.65	Scientific Reasoning One thing is common to all forms of science: an ultimate goal “to know.
7.1.66	”
7.1.67	Curiosity and inquiry are the driving forces for the development of science.
7.1.68	Scientists seek to understand the world and the way it operates.
7.1.69	To do this, they use two methods of logical thinking: inductive reasoning and deductive reasoning.
7.1.70	Inductive reasoning is a form of logical thinking that uses related observations to arrive at a general conclusion.
7.1.71	This type of reasoning is common in descriptive science.
7.1.72	A life scientist such as a biologist makes observations and records them.
7.1.73	These data can be qualitative or quantitative, and the raw data can be supplemented with drawings, pictures, photos, or videos.
7.1.74	From many observations, the scientist can infer conclusions (inductions) based on evidence.
7.1.75	Inductive reasoning involves formulating generalizations inferred from careful observation and the analysis of a large amount of data.
7.1.76	Brain studies provide an example.
7.1.77	In this type of research, many live brains are observed while people are doing a specific activity, such as viewing images of food.
7.1.78	The part of the brain that “lights up” during this activity is then predicted to be the part controlling the response to the selected stimulus, in this case, images of food.
7.1.79	The “lighting up” of the various areas of the brain is caused by excess absorption of radioactive sugar derivatives by active areas of the brain.
7.1.80	The resultant increase in radioactivity is observed by a scanner.
7.1.81	Then, researchers can stimulate that part of the brain to see if similar responses result.
7.1.82	Deductive reasoning or deduction is the type of logic used in hypothesis-based science.
7.1.83	In deductive reason, the pattern of thinking moves in the opposite direction as compared to inductive reasoning.
7.1.84	Deductive reasoning is a form of logical thinking that uses a general principle or law to forecast specific results.
7.1.85	From those general principles, a scientist can extrapolate and predict the specific results that would be valid as long as the general principles are valid.
7.1.86	Studies in climate change can illustrate this type of reasoning.
7.1.87	For example, scientists may predict that if the climate becomes warmer in a particular region, then the distribution of plants and animals should change.
7.1.88	These predictions have been made and tested, and many such changes have been found, such as the modification of arable areas for agriculture, with change based on temperature averages.
7.1.89	Both types of logical thinking are related to the two main pathways of scientific study: descriptive science and hypothesisbased science.
7.1.90	Descriptive (or discovery) science, which is usually inductive, aims to observe, explore, and discover, while hypothesis-based science, which is usually deductive, begins with a specific question or problem and a potential answer or solution that can be tested.
7.1.91	The boundary between these two forms of study is often blurred, and most scientific endeavors combine both approaches.
7.1.92	The fuzzy boundary becomes apparent when thinking about how easily observation can lead to specific questions.
7.1.93	For example, a gentleman in the 1940s observed that the burr seeds that stuck to his clothes and his dog’s fur had a tiny hook structure.
7.1.94	On closer inspection, he discovered that the burrs’ gripping device was more reliable than a zipper.
7.1.95	He eventually developed a company and produced the hook-and-loop fastener popularly known today as Velcro.
7.1.96	Descriptive science and hypothesis-based science are in continuous dialogue.
7.1.97	The Scientific Method Biologists study the living world by posing questions about it and seeking science-based responses.
7.1.98	This approach is common to other sciences as well and is often referred to as the scientific method.
7.1.99	The scientific method was used even in ancient times, but it was first documented by England’s Sir Francis Bacon (1561–1626) (Figure 1.5), who set up inductive methods for scientific inquiry.
7.1.100	The scientific method is not exclusively used by biologists but can be applied to almost all fields of study as a logical, rational problem-solving method.
7.1.101	Sir Francis Bacon (1561–1626) is credited with being the first to define the scientific method.
7.1.102	(credit: Paul van Somer)
7.1.103	The scientific process typically starts with an observation (often a problem to be solved) that leads to a question.
7.1.104	Let’s think about a simple problem that starts with an observation and apply the scientific method to solve the problem.
7.1.105	One Monday morning, a student arrives at class and quickly discovers that the classroom is too warm.
7.1.106	That is an observation that also describes a problem: the classroom is too warm.
7.1.107	The student then asks a question:
7.1.108	“Why is the classroom so warm?
7.1.109	” Proposing a Hypothesis Recall that a hypothesis is a suggested explanation that can be tested.
7.1.110	To solve a problem, several hypotheses may be proposed.
7.1.111	For example, one hypothesis might be, “
7.1.112	The classroom is warm because no one turned on the air conditioning.
7.1.113	”
7.1.114	But there could be other responses to the question, and therefore other hypotheses may be proposed.
7.1.115	A second hypothesis might be, “
7.1.116	The classroom is warm because there is a power failure, and so the air conditioning doesn’t work.
7.1.117	”
7.1.118	Once a hypothesis has been selected, the student can make a prediction.
7.1.119	A prediction is similar to a hypothesis
7.1.120	but it typically has the format “
7.1.121	If . . .
7.1.122	then . . . .
7.1.123	”
7.1.124	For example, the prediction for the first hypothesis might be, “
7.1.125	If the student turns on the air conditioning, then the classroom will no longer be too warm.
7.1.126	”
7.1.127	Testing a Hypothesis A valid hypothesis must be testable.
7.1.128	It should also be falsifiable, meaning that it can be disproven by experimental results.
7.1.129	Importantly, science does not claim to “prove” anything because scientific understandings are always subject to modification with further information.
7.1.130	This step—openness to disproving ideas
7.1.131	—is what distinguishes sciences from nonsciences.
7.1.132	The presence of the supernatural, for instance, is neither testable nor falsifiable.
7.1.133	To test a hypothesis, a researcher will conduct one or more experiments designed to eliminate one or more of the hypotheses.
7.1.134	Each experiment will have one or more variables and one or more controls.
7.1.135	A variable is any part of the experiment that can vary or change during the experiment.
7.1.136	The control group contains every feature of the experimental group except it is not given the manipulation that is hypothesized about.
7.1.137	Therefore, if the results of the experimental group differ from the control group, the difference must be due to the hypothesized manipulation, rather than some outside factor.
7.1.138	Look for the variables and controls in the examples that follow.
7.1.139	To test the first hypothesis, the student would find out if the air conditioning is on.
7.1.140	If the air conditioning is turned on but does not work, there should be another reason, and this hypothesis should be rejected.
7.1.141	To test the second hypothesis, the student could check if the lights in the classroom are functional.
7.1.142	If so, there is no power failure and this hypothesis should be rejected.
7.1.143	Each hypothesis should be tested by carrying out appropriate experiments.
7.1.144	Be aware that rejecting one hypothesis does not determine whether or not the other hypotheses can be accepted; it simply eliminates one hypothesis that is not valid (Figure 1.6).
7.1.145	Using the scientific method, the hypotheses that are inconsistent with experimental data are rejected.
7.1.146	While this “warm classroom” example is based on observational results, other hypotheses and experiments might have clearer controls.
7.1.147	For instance, a student might attend class on Monday and realize she had difficulty concentrating on the lecture.
7.1.148	One observation to explain this occurrence might be, “When I eat breakfast before class, I am better able to pay attention.
7.1.149	”
7.1.150	The student could then design an experiment with a control to test this hypothesis.
7.1.151	In hypothesis-based science, specific results are predicted from a general premise.
7.1.152	This type of reasoning is called deductive reasoning: deduction proceeds from the general to the particular.
7.1.153	But the reverse of the process is also possible: sometimes, scientists reach a general conclusion from a number of specific observations.
7.1.154	This type of reasoning is called inductive reasoning, and it proceeds from the particular to the general.
7.1.155	Inductive and deductive reasoning are often used in tandem to advance scientific knowledge (Figure 1.7).
7.1.156	The scientific method may seem too rigid and structured.
7.1.157	It is important to keep in mind that, although scientists often follow this sequence, there is flexibility.
7.1.158	Sometimes an experiment leads to conclusions that favor a change in approach; often, an experiment brings entirely new scientific questions to the puzzle.
7.1.159	Many times, science does not operate in a linear fashion; instead, scientists continually draw inferences and make generalizations, finding patterns as their research proceeds.
7.1.160	Scientific reasoning is more complex than the scientific method alone suggests.
7.1.161	Notice, too, that the scientific method can be applied to solving problems that aren’t necessarily scientific in nature.
7.1.162	Two Types of Science: Basic Science and Applied Science
7.1.163	The scientific community has been debating for the last few decades about the value of different types of science.
7.1.164	Is it valuable to pursue science for the sake of simply gaining knowledge, or does scientific knowledge only have worth if we can apply it to solving a specific problem or to bettering our lives?
7.1.165	This question focuses on the differences between two types of science: basic science and applied science.
7.1.166	Basic science or “pure” science seeks to expand knowledge regardless of the short-term application of that knowledge.
7.1.167	It is not focused on developing a product or a service of immediate public or commercial value.
7.1.168	The immediate goal of basic science is knowledge for knowledge’s sake, though this does not mean that, in the end, it may not result in a practical application.
7.1.169	In contrast, applied science or “technology,” aims to use science to solve real-world problems, making it possible, for example, to improve a crop yield, find a cure for a particular disease, or save animals threatened by a natural disaster (Figure 1.8).
7.1.170	In applied science, the problem is usually defined for the researcher.
7.1.171	Figure 1.8
7.1.172	After Hurricane Ike struck the Gulf Coast in 2008, the U.S. Fish and Wildlife Service rescued this brown pelican.
7.1.173	Thanks to applied science, scientists knew how to rehabilitate the bird.
7.1.174	(credit: FEMA)
7.1.175	Some individuals may perceive applied science as “useful” and basic science as “useless.
7.1.176	”
7.1.177	A question these people might pose to a scientist advocating knowledge acquisition would be, “What for?
7.1.178	”
7.1.179	A careful look at the history of science, however, reveals that basic knowledge has resulted in many remarkable applications of great value.
7.1.180	Many scientists think that a basic understanding of science is necessary before an application is developed; therefore, applied science relies on the results generated through basic science.
7.1.181	Other scientists think that it is time to move on from basic science and instead to find solutions to actual problems.
7.1.182	Both approaches are valid.
7.1.183	It is true that there are problems that demand immediate attention; however, few solutions would be found without the help of the wide knowledge foundation generated through basic science.
7.1.184	One example of how basic and applied science can work together to solve practical problems occurred after the discovery of DNA structure led to an understanding of the molecular mechanisms governing DNA replication.
7.1.185	Strands of DNA, unique in every human, are found in our cells, where they provide the instructions necessary for life.
7.1.186	During DNA replication, DNA makes new copies of itself, shortly before a cell divides.
7.1.187	Understanding the mechanisms of DNA replication enabled scientists to develop laboratory techniques that are now used to identify genetic diseases, pinpoint individuals who were at a crime scene, and determine paternity.
7.1.188	Without basic science, it is unlikely that applied science would exist.
7.1.189	Another example of the link between basic and applied research is the Human Genome Project, a study in which each human chromosome was analyzed and mapped to determine the precise sequence of DNA subunits and the exact location of each gene.
7.1.190	(The gene is the basic unit of heredity; an individual’s complete collection of genes is his or her genome.)
7.1.191	Other less complex organisms have also been studied as part of this project in order to gain a better understanding of human chromosomes.
7.1.192	The Human Genome Project (Figure 1.9) relied on basic research carried out with simple organisms and, later, with the human genome.
7.1.193	An important end goal eventually became using the data for applied research, seeking cures and early diagnoses for genetically related diseases.
7.1.194	Figure 1.9
7.1.195	The Human Genome Project was a 13-year collaborative effort among researchers working in several different fields of science.
7.1.196	The project, which sequenced the entire human genome, was completed in 2003.
7.1.197	(credit: the U.S. Department of Energy Genome Programs (http://genomics.energy.gov))
7.1.198	While research efforts in both basic science and applied science are usually carefully planned, it is important to note that some discoveries are made by serendipity, that is, by means of a fortunate accident or a lucky surprise.
7.1.199	Penicillin was discovered when biologist Alexander Fleming accidentally left a petri dish of Staphylococcus bacteria open.
7.1.200	An unwanted mold grew on the dish, killing the bacteria.
7.1.201	The mold turned out to be Penicillium, and a new antibiotic was discovered.
7.1.202	Even in the highly organized world of science, luck—when combined with an observant, curious mind—can lead to unexpected breakthroughs.
7.1.203	Reporting Scientific Work
7.1.204	Whether scientific research is basic science or applied science, scientists must share their findings in order for other researchers to expand and build upon their discoveries.
7.1.205	Collaboration with other scientists—when planning, conducting, and analyzing results—are all important for scientific research.
7.1.206	For this reason, important aspects of a scientist’s work are communicating with peers and disseminating results to peers.
7.1.207	Scientists can share results by presenting them at a scientific meeting or conference, but this approach can reach only the select few who are present.
7.1.208	Instead, most scientists present their results in peer-reviewed manuscripts that are published in scientific journals.
7.1.209	Peer-reviewed manuscripts are scientific papers that are reviewed by a scientist’s colleagues, or peers.
7.1.210	These colleagues are qualified individuals, often experts in the same research area, who judge whether or not the scientist’s work is suitable for publication.
7.1.211	The process of peer review helps to ensure that the research described in a scientific paper or grant proposal is original, significant, logical, and thorough.
7.1.212	Grant proposals, which are requests for research funding, are also subject to peer review.
7.1.213	Scientists publish their work so other scientists can reproduce their experiments under similar or different conditions to expand on the findings.
7.1.214	The experimental results must be consistent with the findings of other scientists.
7.1.215	A scientific paper is very different from creative writing.
7.1.216	Although creativity is required to design experiments, there are fixed guidelines when it comes to presenting scientific results.
7.1.217	First, scientific writing must be brief, concise, and accurate.
7.1.218	A scientific paper needs to be succinct but detailed enough to allow peers to reproduce the experiments.
7.1.219	The scientific paper consists of several specific sections—introduction, materials and methods, results, and discussion.
7.1.220	This structure is sometimes called the “IMRaD” format.
7.1.221	There are usually acknowledgment and reference sections as well as an abstract (a concise summary) at the beginning of the paper.
7.1.222	There might be additional sections depending on the type of paper and the journal where it will be published; for example, some review papers require an outline.
7.1.223	The introduction starts with brief, but broad, background information about what is known in the field.
7.1.224	A good introduction also gives the rationale of the work; it justifies the work carried out and also briefly mentions the end of the paper, where the hypothesis or research question driving the research will be presented.
7.1.225	The introduction refers to the published scientific work of others and therefore requires citations following the style of the journal.
7.1.226	Using the work or ideas of others without proper citation is considered plagiarism.
7.1.227	The materials and methods section includes a complete and accurate description of the substances used, and the method and techniques used by the researchers to gather data.
7.1.228	The description should be thorough enough to allow another researcher to repeat the experiment and obtain similar results, but it does not have to be verbose.
7.1.229	This section will also include information on how measurements were made and what types of calculations and statistical analyses were used to examine raw data.
7.1.230	Although the materials and methods section gives an accurate description of the experiments, it does not discuss them.
7.1.231	Some journals require a results section followed by a discussion section, but it is more common to combine both.
7.1.232	If the journal does not allow the combination of both sections, the results section simply narrates the findings without any further interpretation.
7.1.233	The results are presented by means of tables or graphs, but no duplicate information should be presented.
7.1.234	In the discussion section, the researcher will interpret the results, describe how variables may be related, and attempt to explain the observations.
7.1.235	It is indispensable to conduct an extensive literature search to put the results in the context of previously published scientific research.
7.1.236	Therefore, proper citations are included in this section as well.
7.1.237	Finally, the conclusion section summarizes the importance of the experimental findings.
7.1.238	While the scientific paper almost certainly answered one or more scientific questions that were stated, any good research should lead to more questions.
7.1.239	Therefore, a well-done scientific paper leaves doors open for the researcher and others to continue and expand on the findings.
7.1.240	Review articles do not follow the IMRAD format because they do not present original scientific findings, or primary literature; instead, they summarize and comment on findings that were published as primary literature and typically include extensive reference sections.response, but it is not always easy to define life.
7.1.241	For example, a branch of biology called virology studies viruses, which exhibit some of the characteristics of living entities but lack others.
7.1.242	It turns out that although viruses can attack living organisms, cause diseases, and even reproduce, they do not meet the criteria that biologists use to define life.
7.1.243	Consequently, virologists are not biologists, strictly speaking.
7.1.244	Similarly, some biologists study the early molecular evolution that gave rise to life; since the events that preceded life are not biological events, these scientists are also excluded from biology in the strict sense of the term.
7.1.245	From its earliest beginnings, biology has wrestled with three questions: What are the shared properties that make something “alive”?
7.1.246	And once we know something is alive, how do we find meaningful levels of organization in its structure?
7.1.247	And, finally, when faced with the remarkable diversity of life, how do we organize the different kinds of organisms so that we can better understand them?
7.1.248	As new organisms are discovered every day, biologists continue to seek answers to these and other questions.
7.1.249	Properties of Life
7.1.250	All living organisms share several key characteristics or functions: order, sensitivity or response to the environment, reproduction, adaptation, growth and development, regulation, homeostasis, energy processing, and evolution.
7.1.251	When viewed together, these nine characteristics serve to define life.
7.1.252	Organisms are highly organized, coordinated structures that consist of one or more cells.
7.1.253	Even very simple, single-celled organisms are remarkably complex: inside each cell, atoms make up molecules; these in turn make up cell organelles and other cellular inclusions.
7.1.254	In multicellular organisms (Figure 1.10), similar cells form tissues.
7.1.255	Tissues, in turn, collaborate to create organs (body structures with a distinct function).
7.1.256	Organs work together to form organ systems.
7.1.257	Figure 1.11
7.1.258	The leaves of this sensitive plant (Mimosa pudica) will instantly droop and fold when touched.
7.1.259	After a few minutes, the plant returns to normal.
7.1.260	(credit:
7.1.261	Alex Lomas) Organisms respond to diverse stimuli.
7.1.262	For example, plants can bend toward a source of light, climb on fences and walls, or respond to touch (Figure 1.11).
7.1.263	Even tiny bacteria can move toward or away from chemicals (a process called chemotaxis) or light (phototaxis).
7.1.264	Movement toward a stimulus is considered a positive response, while movement away from a stimulus is considered a negative response.
7.1.265	Reproduction Single-celled organisms reproduce by first duplicating their DNA, and then dividing it equally as the cell prepares to divide to form two new cells.
7.1.266	Multicellular organisms often produce specialized reproductive germline cells that will form new individuals.
7.1.267	When reproduction occurs, genes containing DNA are passed along to an organism’s offspring.
7.1.268	These genes ensure that the offspring will belong to the same species and will have similar characteristics, such as size and shape.
7.1.269	Growth and Development Organisms grow and develop following specific instructions coded for by their genes.
7.1.270	These genes provide instructions that will direct cellular growth and development, ensuring that a species’ young (Figure 1.12) will grow up to exhibit many of the same characteristics as its parents.
7.1.271	Figure 1.12
7.1.272	Although no two look alike, these kittens have inherited genes from both parents and share many of the same characteristics.
7.1.273	(credit: Rocky Mountain Feline Rescue) Regulation Even the smallest organisms are complex and require multiple regulatory mechanisms to coordinate internal functions, respond to stimuli, and cope with environmental stresses.
7.1.274	Two examples of internal functions regulated in an organism are nutrient transport and blood flow.
7.1.275	Organs (groups of tissues working together) perform specific functions, such as carrying oxygen throughout the body, removing wastes, delivering nutrients to every cell, and cooling the body.
7.1.276	Figure 1.13 Polar bears (Ursus maritimus) and other mammals living in ice-covered regions maintain their body temperature by generating heat and reducing heat loss through thick fur and a dense layer of fat under their skin.
7.1.277	(credit:
7.1.278	“longhorndave”/Flickr)
7.1.279	In order to function properly, cells need to have appropriate conditions such as proper temperature, pH, and appropriate concentration of diverse chemicals.
7.1.280	These conditions may, however, change from one moment to the next.
7.1.281	Organisms are able to maintain internal conditions within a narrow range almost constantly, despite environmental changes, through homeostasis (literally, “steady state”)—the ability of an organism to maintain constant internal conditions.
7.1.282	For example, an organism needs to regulate body temperature through a process known as thermoregulation.
7.1.283	Organisms that live in cold climates, such as the polar bear (Figure 1.13), have body structures that help them withstand low temperatures and conserve body heat.
7.1.284	Structures that aid in this type of insulation include fur, feathers, blubber, and fat.
7.1.285	In hot climates, Figure 1.14
7.1.286	The California condor (Gymnogyps californianus) uses chemical energy derived from food to power flight.
7.1.287	California condors are an endangered species; this bird has a wing tag that helps biologists identify the individual.
7.1.288	(credit: Pacific Southwest Region U.S. Fish and Wildlife Service)
7.1.289	All organisms use a source of energy for their metabolic activities.
7.1.290	Some organisms capture energy from the sun and convert it into chemical energy in food; others use chemical energy in molecules they take in as food (Figure 1.14).
7.1.291	Levels of Organization of Living Things Living things are highly organized and structured, following a hierarchy that can be examined on a scale from small to large.
7.1.292	The atom is the smallest and most fundamental unit of matter.
7.1.293	It consists of a nucleus surrounded by electrons.
7.1.294	Atoms form molecules.
7.1.295	A molecule is a chemical structure consisting of at least two atoms held together by one or more chemical bonds.
7.1.296	Many molecules that are biologically important are macromolecules, large molecules that are typically formed by polymerization (a polymer is a large molecule that is made by combining smaller units called monomers, which are simpler than macromolecules).
7.1.297	An example of a macromolecule is deoxyribonucleic acid (DNA)
7.1.298	(Figure 1.15), which contains the instructions for the structure and functioning of all living organisms.
7.1.299	Some cells contain aggregates of macromolecules surrounded by membranes; these are called organelles.
7.1.300	Organelles are small structures that exist within cells.
7.1.301	Examples of organelles include mitochondria and chloroplasts, which carry out indispensable functions: mitochondria produce energy to power the cell, while chloroplasts enable green plants to utilize the energy in sunlight to make sugars.
7.1.302	All living things are made of cells; the cell itself is the smallest fundamental unit of structure and function in living organisms.
7.1.303	(This requirement is why viruses are not considered living: they are not made of cells.
7.1.304	To make new viruses, they have to invade and hijack the reproductive mechanism of a living cell; only then can they obtain the materials they need to reproduce.)
7.1.305	Some organisms consist of a single cell and others are multicellular.
7.1.306	Cells are classified as prokaryotic or eukaryotic.
7.1.307	Prokaryotes are single-celled or colonial organisms that do not have membranebound nuclei; in contrast, the cells of eukaryotes do have membrane-bound organelles and a membrane-bound nucleus.
7.1.308	In larger organisms, cells combine to make tissues, which are groups of similar cells carrying out similar or related functions.
7.1.309	Organs are collections of tissues grouped together performing a common function.
7.1.310	Organs are present not only in animals but also in plants.
7.1.311	An organ system is a higher level of organization that consists of functionally related organs.
7.1.312	Mammals have many organ systems.
7.1.313	For instance, the circulatory system transports blood through the body and to and from the lungs; it includes organs such as the heart and blood vessels.
7.1.314	Organisms are individual living entities.
7.1.315	For example, each tree in a forest is an organism.
7.1.316	Single-celled prokaryotes and single-celled eukaryotes are also considered organisms and are typically referred to as microorganisms.
7.1.317	All the individuals of a species living within a specific area are collectively called a population.
7.1.318	For example, a forest may include many pine trees.
7.1.319	All of these pine trees represent the population of pine trees in this forest.
7.1.320	Different populations may live in the same specific area.
7.1.321	For example, the forest with the pine trees includes populations of flowering plants and also insects and microbial populations.
7.1.322	A community is the sum of populations inhabiting a particular area.
7.1.323	For instance, all of the trees, flowers, insects, and other populations in a forest form the forest’s community.
7.1.324	The forest itself is an ecosystem.
7.1.325	An ecosystem consists of all the living things in a particular area together with the abiotic, non-living parts of that environment such as nitrogen in the soil or rain water.
7.1.326	At the highest level of organization (Figure 1.16), the biosphere is the collection of all ecosystems, and it represents the zones of life on earth.
7.1.327	It includes land, water, and even the atmosphere to a certain extent.
7.1.328	The biological levels of organization of living things are shown.
7.1.329	From a single organelle to the entire biosphere, living organisms are parts of a highly structured hierarchy.
7.1.330	(credit “organelles
7.1.331	”:
7.1.332	modification of work by Umberto Salvagnin; credit “cells”: modification of work by Bruce Wetzel, Harry Schaefer/ National Cancer Institute;
7.1.333	credit “tissues
7.1.334	”:
7.1.335	modification of work by Kilbad; Fama Clamosa; Mikael Häggström;
7.1.336	credit “organs
7.1.337	”:
7.1.338	modification of work by Mariana Ruiz Villareal
7.1.339	; credit “organisms”:
7.1.340	modification of work by "Crystal"/Flickr; credit “ecosystems
7.1.341	”:
7.1.342	modification of work by US Fish and Wildlife Service Headquarters; credit “biosphere
7.1.343	”:
7.1.344	modification of work by The fact that biology, as a science, has such a broad scope has to do with the tremendous diversity of life on earth.
7.1.345	The source of this diversity is evolution, the process of gradual change during which new species arise from older species.
7.1.346	Evolutionary biologists study the evolution of living things in everything from the microscopic world to ecosystems.
7.1.347	The evolution of various life forms on Earth can be summarized in a phylogenetic tree (Figure 1.17).
7.1.348	A phylogenetic tree is a diagram showing the evolutionary relationships among biological species based on similarities and differences in genetic or physical traits or both.
7.1.349	A phylogenetic tree is composed of nodes and branches.
7.1.350	The internal nodes represent ancestors and are points in evolution when, based on scientific evidence, an ancestor is thought to have diverged to form two new species.
7.1.351	The length of each branch is proportional to the time elapsed since the split.
7.1.352	This phylogenetic tree was constructed by microbiologist Carl Woese using data obtained from sequencing ribosomal RNA genes.
7.1.353	The tree shows the separation of living organisms into three domains: Bacteria, Archaea, and Eukarya.
7.1.354	Bacteria and Archaea are prokaryotes, single-celled organisms lacking intracellular organelles.
7.1.355	(credit: Eric Gaba; NASA Astrobiology Institute)Carl Woese and the Phylogenetic Tree
7.1.356	In the past, biologists grouped living organisms into five kingdoms: animals, plants, fungi, protists, and bacteria.
7.1.357	The organizational scheme was based mainly on physical features, as opposed to physiology, biochemistry, or molecular biology, all of which are used by modern systematics.
7.1.358	The pioneering work of American microbiologist Carl Woese in the early 1970s has shown, however, that life on Earth has evolved along three lineages, now called domains—Bacteria, Archaea, and Eukarya.
7.1.359	The first two are prokaryotic cells with microbes that lack membrane-enclosed nuclei and organelles.
7.1.360	The third domain contains the eukaryotes and includes unicellular microorganisms together with the four original kingdoms (excluding bacteria).
7.1.361	Woese defined Archaea as a new domain, and this resulted in a new taxonomic tree (Figure 1.17).
7.1.362	Many organisms belonging to the Archaea domain live under extreme conditions and are called extremophiles.
7.1.363	To construct his tree, Woese used genetic relationships rather than similarities based on morphology (shape).
7.1.364	Woese’s tree was constructed from comparative sequencing of the genes that are universally distributed, present in every organism, and conserved (meaning that these genes have remained essentially unchanged throughout evolution).
7.1.365	Woese’s approach was revolutionary because comparisons of physical features are insufficient to differentiate between the prokaryotes that appear fairly similar in spite of their tremendous biochemical diversity and genetic variability (Figure 1.18).
7.1.366	The comparison of homologous DNA and RNA sequences provided Woese with a sensitive device that revealed the extensive variability of prokaryotes, and which justified the separation of the prokaryotes into two domains: bacteria and archaea.
7.1.367	These images represent different domains.
