7.1.1.1	Chapter 1: Studying Life
7.1.0.0.1.9	The origin of an internal environment that concentrated reactants and products of chemical reactions led to the first cells with the ability to replicate themselves   the evolution of the first cellular organisms.
7.1.0.0.2.1	Figure 1.3 Cells Are Building Blocks for Life These photographs were taken with electron microscopes (see Figure 5.3) and enhanced with added color to highlight details.
7.1.0.0.2.2	(A) Liposomes are tiny round bubbles known as vesicles and are made out of the same material as a cell membrane.
7.1.0.0.2.3	Liposomes can be filled with drugs and used to deliver drugs to cells.
7.1.0.0.2.4	(B) Two prokaryotic cells of an Enterococcus bacterium that lives in the human digestive system.
7.1.0.0.2.5	Prokaryotes are unicellular organisms with genetic and biochemical material enclosed inside a single membrane.
7.1.0.0.2.6	(C) A human white blood cell (lymphocyte) represents one of the many specialized cell types that make up a multicellular eukaryote.
7.1.0.0.2.7	Multiple membranes within the cell-enclosing outer membrane segregate the different biochemical processes of eukaryotic cells.
7.1.0.0.2.8	For billions of years all the organisms existing on Earth were unicellular and were enclosed by a single outer membrane.
7.1.0.0.2.9	Such organisms, like the bacteria that are abundant on you, in you, and all around you, are called prokaryotes (Figure 1.3B).
7.1.0.0.2.10	Two main groups diverged early in life   s history: the Bacteria and Archaea.
7.1.0.0.2.11	The third major category of life on earth, the Eukarya, arose billions of years later from one group of archaea.
7.1.0.0.2.12	In addition to its outer membrane, a eukaryotic cell (Figure 1.3C) has internal membranes that enclose specialized internal compartments called organelles.
7.1.0.0.2.13	The organelle that gives eukaryotes their name is the nucleus   the organelle that contains the cell   s genetic information.
7.1.0.0.2.14	The word    eukaryote  ? comes from two Greek words meaning    a true kernel.  ?
7.1.0.0.2.15	Other organelles carry out specific functions such as synthesizing biological molecules or providing energy.
7.1.0.0.2.16	How might eukaryotes have arisen from prokaryotes?
7.1.0.0.2.17	Infoldings of the prokaryote cell membrane could have formed internal compartments   the organelles   that isolated cell functions from each other, resulting in greater integration or efficiency of cell functions.
7.1.0.0.2.18	Another possibility, similar to that seen in the relationship between corals and dinoflagellates described at the beginning of this chapter, is that close, interdependent relationships may have developed between different prokaryote cells, leading to a merger of sorts.
7.1.0.0.2.19	Suppose a prokaryote good at converting energy was engulfed (but not digested) by a prokaryote good at synthesizing biological molecules.
7.1.0.0.2.20	Each would supply a valuable service for the other, but now one would be an organelle inside the other.
7.1.0.0.2.21	The structure of prokaryote and eukaryote cells, their membranes, and their evolution are the subjects of Part Two.
7.1.0.0.2.22	Single-celled organisms were the only forms of life for over half of the history of life on Earth (see Figure 1.2).
7.1.0.0.2.23	However, at some point the cells of some eukaryotes didn   t separate after cell division, instead they remained attached to each other.
7.1.0.0.2.24	Such colonial aggregations of cells made it possible for some of the associated cells to specialize in certain functions, such as reproduction, while other cells specialized in other functions, such as absorbing nutrients or motility.
7.1.0.0.2.25	This cellular specialization enabled multicellular eukaryotes to increase in size and become more efficient at gathering resources and adapting to specific environments.
7.1.0.0.1.1	Living cells require energy to function.
7.1.0.0.1.2	The earliest prokaryotes supplied their energy needs   their metabolism   by taking in small molecules from their environment, breaking the chemical bonds of these molecules, and using the energy released from those chemical bonds to do cellular work.
7.1.0.0.1.3	Many modern prokaryotes still function this way, and they function very successfully.
7.1.0.0.1.4	But about 2.5 billion years ago, the emergence of photosynthesis changed the nature of life on Earth.
7.1.0.0.1.5	Figure 1.4  Photosynthetic Organisms Changed Earth   s Atmosphere (A) Photosynthesis transforms the energy of sunlight into a form of *chemical energy that can be used to do work such as the synthesis of large molecules.
7.1.0.0.1.6	These large molecules can then be used to build cell structures or can be broken down to provide metabolic energy.
7.1.0.0.1.7	Photosynthesis is the basis of much of life on Earth today because its energy-capturing processes provide food for other organisms.
7.1.0.0.1.8	Early photosynthetic cells were probably similar to present-day prokaryotes called cyanobacteria (Figure 1.4).
7.1.0.0.1.9	Over time, photosynthetic prokaryotes became so abundant that vast quantities of oxygen gas (O2), which is a by-product of photosynthesis, began to accumulate in the atmosphere.
7.1.0.0.2.1	*connect the concepts The pathways that harvest chemical energy to do all the kinds of biological work necessary to support metabolism are presented in Chapter 9.
7.1.0.0.2.2	During the early history of prokaryotic life, there was no O2 in Earth   s atmosphere.
7.1.0.0.2.3	In fact, O2 was toxic to many of the prokaryotes living at that time, and its buildup in the atmosphere resulted in a huge mass extinction.
7.1.0.0.2.4	But those organisms that could tolerate O2 proliferated.
7.1.0.0.2.5	Atmospheric O2 opened up vast new avenues of evolution because aerobic metabolism   a biochemical process that uses O2 to extract energy from nutrient molecules   is far more efficient than anaerobic metabolism (which does not use O2).
7.1.0.0.2.6	Most organisms today use aerobic metabolism.
7.1.0.0.2.7	Oxygen in the atmosphere also made it possible for life to move onto land.
7.1.0.0.2.8	For most of life   s history, UV radiation falling on Earth   s surface was so intense that it destroyed any organism that was not shielded by water.
7.1.0.0.2.9	The atmospheric accumulation of photosynthetically generated O2 over a period of more than 2 billion years gradually produced a thick layer of ozone (O3) in the upper atmosphere.
7.1.0.0.2.10	By about 500 million years ago, the ozone layer was sufficiently dense and absorbed enough of the sun   s UV radiation to make it possible for organisms to leave the protection of the water and live on land.
7.1.0.0.1.1	Figure 1.5 Genetics Developed as the Study of Discrete Heritable Traits Figure 1.6 DNA Is Life   s Blueprint Before there was a science of biology, humans recognized that offspring resemble parents, and this fact was used by plant and animal breeders to produce variants with desirable qualities.
7.1.0.0.1.2	However, not until the famous plant breeding experiments of the Austrian monk Gregor Mendel in the mid-1800s was it demonstrated that inherited traits existed in discrete units (Figure 1.5).
7.1.0.0.1.3	These discrete units of inheritance were termed genes in the early 1900s, giving rise to the science of genetics.
7.1.0.0.1.4	An enormous body of information about traits of organisms represented by single genes was created before the chemical structure of a gene was known, and hence before the nature of the information that is passed from parent to offspring was known.
7.1.0.0.1.5	That mystery was solved in the mid-1900s with the discovery that the molecule deoxyribonucleic acid, DNA, is the genetic information that specifies what an organism will look like and how it will function.
7.1.0.0.1.6	This    blueprint  ? for the existence of each individual organism is contained in the sum total of all the DNA molecules contained in each of the organism   s cells   its genome.
7.1.0.0.1.7	DNA molecules are long sequences of four different subunits called nucleotides.
7.1.0.0.1.8	Genes are specific segments of DNA that encode the information the cell uses to build proteins.
7.1.0.0.1.9	Therefore each gene is defined by a specific sequence of the four nucleotides.
7.1.0.0.1.10	The genetic code spells out how sequences of nucleotides are *translated into sequences of amino acids, which are the building blocks of proteins.
7.1.0.0.1.11	This translation process involves first transcribing some of the DNA information of a gene into the structure of another smaller molecule called ribonucleic acid (RNA) (Figure 1.6).
7.1.0.0.1.12	RNA serves as the template for synthesis of a protein.
7.1.0.0.1.13	Protein molecules govern the chemical reactions within cells and form much of an organism   s structure.
7.1.0.0.2.1	*connect the concepts How the structure of DNA codes for and is translated into proteins is discussed in Concept 4.1 and in more detail in Chapters 13 and 14.
7.1.0.0.2.2	By analogy with a book, the nucleotides of DNA are like the letters of an alphabet, and protein molecules are the words.
7.1.0.0.2.3	Combinations of proteins that form structures and control specific biochemical processes are the sentences and paragraphs.
7.1.0.0.2.4	The structures and processes that are organized into different complex systems with specific tasks (such as digestion or movement) are the chapters of the book, and the complete book is the organism.
7.1.0.0.2.5	If you were to write out your own genome using four letters to represent the four nucleotides, you would write more than 3 billion letters.
7.1.0.0.2.6	Using the size type you are reading now, your genome would fill about 1,000 books the size of this one.
7.1.0.0.2.7	The processes of evolution are the authors and editors of all the books in the library of life.
7.1.0.0.2.8	Even though all the cells of a multicellular organism contain essentially the same genome, different cells of the organism have different functions and form different structures   contractile proteins form in muscle cells, hemoglobin in red blood cells, digestive enzymes in gut cells, and so on.
7.1.0.0.2.9	We thus surmise that different types of cells in an organism express different parts of the genome.
7.1.0.0.2.10	How cells control gene expression to enable a complex organism to develop and function is a major focus of current biological research.
7.1.0.0.2.11	The genome of an organism consists of thousands of genes.
7.1.0.0.2.12	This entire genome must be replicated as new cells are produced.
7.1.0.0.2.13	However, the replication process is not perfect, and a few errors, known as mutations, are likely to occur when the genome is replicated.
7.1.0.0.2.14	Mutations occur spontaneously and can be induced by environmental factors such as chemicals and radiation.
7.1.0.0.2.15	Most mutations are either harmful or have no effect, but occasionally a mutation improves the functioning of the organism under the environmental conditions it encounters.
7.1.0.0.2.16	The discovery of the structure of DNA by James Watson and Francis Crick in the middle of the twentieth century, and the subsequent elucidation of the mechanisms by which this material encodes and transmits information, transformed biology.
7.1.0.0.2.17	These crucial discoveries are detailed in Parts Four and Five of this book.
7.1.0.0.1.1	A population is a group of individuals of the same type of organism that interbreed.
7.1.0.0.1.2	The processes of evolution result in changes in the genetic makeup of populations through time.
7.1.0.0.1.3	Evolution is the major unifying principle of biology.
7.1.0.0.1.4	Charles Darwin compiled factual evidence for evolution in his 1859 book On the Origin of Species.
7.1.0.0.1.5	Darwin argued that differential survival and reproduction among individuals in a population, which he termed *natural selection, could account for much of the evolution of biodiversity.
7.1.0.0.2.1	*connect the concepts The story of Darwin   s formulation of evolution by natural selection is covered in Key Concept 20.1.
7.1.0.0.2.2	Although Darwin proposed that all organisms are descended from a common ancestor and therefore are related to one another, he did not have knowledge of the mechanisms of genetic inheritance.
7.1.0.0.2.3	Even so, he understood the process of selective breeding of plants and animals to obtain breeds with desired traits.
7.1.0.0.2.4	Darwin himself was a pigeon breeder and knew that he could produce pigeons with different colorations, feather patterns, or tail shapes by selecting mates (see Figure 20.5).
7.1.0.0.2.5	The steps in such selective breeding can be described as follows:
7.1.0.0.3.1	Observe trait variation in a population.
7.1.0.0.4.1	Selectively breed pairs based on a desired trait to produce that trait in their offspring.
7.1.0.0.5.1	Repeat such crosses in subsequent generations to amplify the trait.
7.1.0.0.5.2	Darwin realized that if humans could select for specific traits in domesticated plants and animals, the same process could operate in nature; hence the term    natural selection  ? as opposed to artificial (human-imposed) selection.
7.1.0.0.5.3	He reasoned that the reproductive capacity of plants and animals, if unchecked, would result in unlimited growth of populations, but we do not observe such growth in nature.
7.1.0.0.5.4	In most species, only a small percentage of an individual   s offspring survive to reproduce.
7.1.0.0.5.5	Thus any trait that confers even a small increase in the probability that its possessor will survive and reproduce increases in the population across generations.
7.1.0.0.5.6	Figure 1.7 Adaptations to the Environment Because organisms with certain traits survive and reproduce best under specific sets of conditions, natural selection leads to adaptations: structural, physiological, or behavioral traits that enhance an organism   s chances of survival and reproduction in its environment (Figure 1.7).
7.1.0.0.5.7	The opening story of this chapter described experiments aimed at understanding adaptations that might enable corals to survive in a warmer environment.
7.1.0.0.5.8	In addition to natural selection, evolutionary processes such as sexual selection (selection due to mate choice) and genetic drift (the random fluctuation of gene frequencies in a population due to chance events) contribute to biodiversity.
7.1.0.0.5.9	These processes operating over evolutionary history have contributed to the remarkable diversity of life on Earth.
7.1.0.0.5.10	Part Six describes how natural selection and other evolutionary processes are supported and explained by the massive body of genetic and molecular genetic knowledge mostly produced over the past hundred years.
7.1.0.0.5.11	Figure 1.8 The Blueprint of Life Over most of the history of biology, the diversity of life was described and catalogued based on structural characteristics of organisms.
7.1.0.0.5.12	With the rapid development of molecular genetic tools in recent years, it is now possible to obtain the DNA sequences of parts or all of the genomes of organisms.
7.1.0.0.5.13	Now it is possible to compare organisms on the basis of their DNA blueprints, which has given rise to the field of genomics.
7.1.0.0.5.14	For example, a structural feature that differentiates humans with African or European origins versus East Asian origins is hair.
7.1.0.0.5.15	Europeans have fine hair that can be curly, as is the hair of Africans.
7.1.0.0.5.16	East Asians have thick hair that is straight.
7.1.0.0.5.17	This difference is due to a gene called EDAR and to a single nucleotide substitution in that gene resulting in a single amino acid change in the protein product of that gene (Figure 1.8).
7.1.0.0.5.18	The ability to sequence the billions of letters in genetic codes generates enormous amounts of data, and to manage and analyze that data, the field of bioinformatics has grown in parallel with genomics.
7.1.0.0.5.19	Genomics has enormous applications throughout biology, from evolutionary studies to investigations of human health.
7.1.0.0.5.20	Advances in genomics and bioinformatics make current initiatives in precision medicine possible.
7.1.0.0.1.1	Populations geographically isolated from one another evolve differences.
7.1.0.0.1.2	As populations diverge from one another, individuals from one population become less likely to reproduce successfully with individuals of the other populations.
7.1.0.0.1.3	Eventually these differences between the populations become so great that they are considered to be different species.
7.1.0.0.1.4	Thus species that share a fairly recent evolutionary history are generally more similar to each other than are species that share an ancestor in the more distant past.
7.1.0.0.1.5	By identifying, analyzing, and quantifying similarities and differences among species, biologists can construct phylogenetic trees that portray the evolutionary histories of the different groups of organisms.
7.1.0.0.1.6	As an example, we can show the evolutionary relationships among humans and our closest living relatives in a branching diagram that shows how they diverged from a common ancestor.
7.1.0.0.1.7	In this tree, the living species are shown at the tips of the branches, and the branches show when these groups diverged from one another along a time scale.
7.1.0.0.1.8	Our convention in this book will be to place phylogenetic trees on their sides, with the oldest lineages on the left and the most recent to the right.
7.1.0.0.2.1	Tens of millions of species exist on Earth today; many times that number lived in the past but are now extinct.
7.1.0.0.2.2	Biologists give each of these species a distinctive scientific name formed from two Latinized names   a binomial.
7.1.0.0.2.3	The first part of the name identifies the species    genus (plural genera)   a group of species that share a recent common ancestor.
7.1.0.0.2.4	The second part of the scientific name identifies a particular species within the genus.
7.1.0.0.2.5	For example, the scientific name for modern-day humans is Homo sapiens: Homo is our genus, sapiens refers to our species.
7.1.0.0.2.6	Homo is Latin for    man,  ? and sapiens is from the Latin word for    wise  ? or    rational.  ?
7.1.0.0.2.7	The binomial for our close but extinct relatives, the Neanderthals, is Homo neanderthalensis.
7.1.0.0.2.8	Note that it is conventional to write the binomial in italics with the genus capitalized but the second part not capitalized.
7.1.0.0.3.1	Figure 1.9 The Tree of Life The earliest division of life was between the Bacteria and Archaea.
7.1.0.0.3.2	Later, one lineage of Archaea incorporated specializations (including a cell nucleus) that allowed the repeated evolution of multicellularity; we call this specialized group Eukarya.
7.1.0.0.3.3	The aqua branches within Eukarya represent various groups of microbial eukaryotes, more commonly known as    protists.  ?
7.1.0.0.3.4	The organisms on any one branch share a common ancestor.
7.1.0.0.4.1	Q: According to this phylogenetic tree, are fungi more closely related to plants or to animals?
7.1.0.0.4.2	Much of biology is based on comparisons among species.
7.1.0.0.4.3	Meaningful interpretations of those comparisons require an understanding of evolutionary relationships of the respective species.
7.1.0.0.4.4	Our ability to reconstruct evolutionary relationships has been greatly enhanced in recent decades by gene sequencing.
7.1.0.0.4.5	Genomic sequence analysis and other molecular techniques have enabled biologists to augment evolutionary knowledge based on the fossil record with a vast array of molecular evidence.
7.1.0.0.4.6	The result is the ongoing compilation of phylogenetic trees that document and diagram evolutionary relationships.
7.1.0.0.4.7	The broadest categories of the tree of life are shown in Figure 1.9, and they will be surveyed in more detail in Part Seven.
7.1.0.0.4.8	(The tree is expanded in Appendix A, and you can also explore the tree interactively online. )
7.1.0.0.4.9	Although many details remain to be clarified, the broad outlines of the tree of life have been determined.
7.1.0.0.4.10	Its branching patterns are based on a rich array of evidence from fossils, structures, metabolic processes, behavior, and molecular analyses of genomes.
7.1.0.0.4.11	Recall that the primary division of life   into Archaea and Bacteria   occurred among the early single-celled prokaryotes.
7.1.0.0.4.12	Members of these two groups differ so fundamentally that they are believed to have separated into distinct evolutionary lineages early in the history of life.
7.1.0.0.4.13	One of the lineages of Archaea incorporated a nucleus and internal, membrane-bound organelles and gave rise to the major group Eukarya.
7.1.0.0.4.14	Plants, fungi, and animals are examples of familiar multicellular eukaryotes that evolved independently, from different groups of the unicellular eukaryotes known as protists.
7.1.0.0.4.15	We know that plants, fungi, and animals had independent origins of multicellularity because each of these three groups is most closely related to different groups of protists, as can be seen from the branching pattern of Figure 1.9.
7.1.0.0.1.1	Single-celled organisms must provide for all of their own needs, but the cells of multicellular organisms can evolve specializations to carry out certain functions exclusively and efficiently because they can depend on other cells to carry out other functions.
7.1.0.0.1.2	Thus the cells of a multicellular organism can have different developmental fates.
7.1.0.0.1.3	Similar cell types can develop together into tissues that accomplish tasks that a single cell cannot.
7.1.0.0.1.4	For example, muscle cells develop cellular mechanisms for generating force.
7.1.0.0.1.5	A single muscle cell cannot generate much force, but many cells of a muscle tissue can work together to generate considerable force, and working with structural tissues such as bones, they can produce large movements.
7.1.0.0.1.6	Different tissue types develop together into organs that accomplish specific functions.
7.1.0.0.1.7	The heart, brain, and stomach are each composed of several types of tissues, as are the roots, stems, and leaves of plants.
7.1.0.0.1.8	Organs whose functions are interrelated can be grouped into organ systems; the esophagus, stomach, and intestines, for example, are all part of the digestive system.
7.1.0.0.1.9	The hierarchy of biological organization from atom to organism is shown in Figure 1.10A.
7.1.0.0.1.10	The biology of the two major groups of multicellular organisms, plants and animals, is discussed in detail in Parts Eight and Nine, respectively.
7.1.0.0.2.1	Figure 1.10 Biology Is Studied at Many Levels of Organization (A)  Life   s properties emerge when DNA and other molecules are organized in cells, which form building blocks for organisms.
7.1.0.0.2.2	(B) Organisms exist in populations and interact with other populations to form communities, which interact with the physical environment to make up the many ecosystems of the biosphere.
7.1.0.0.1.1	Living organisms acquire nutrients from the environment.
7.1.0.0.1.2	Biochemical reactions break down complex nutrient molecules into smaller chemical units.
7.1.0.0.1.3	Some of those smaller units are used as building blocks for structures the organism requires.
7.1.0.0.1.4	The breakdown of nutrient molecules does more than supply raw materials.
7.1.0.0.1.5	The breaking of the chemical bonds of nutrient molecules releases energy that the cell transfers to high-energy molecules that it uses to do work.
7.1.0.0.1.6	Figure 1.11 Energy Can Be Used Immediately or Stored (A) One kind of work cells do is mechanical   moving molecules from one cellular location to another, moving whole cells or tissues, or even moving the organism itself (Figure 1.11A).
7.1.0.0.1.7	The cell also does biochemical work in the building, or synthesis, of new complex molecules and structures from smaller chemical units.
7.1.0.0.1.8	For example, we are all familiar with the fact that carbohydrates eaten today may be deposited in the body as fat tomorrow (Figure 1.11B).
7.1.0.0.1.9	Still another kind of work is the electrical work that is the essence of information processing in nervous systems.
7.1.0.0.1.10	The many biochemical reactions that take place in cells are integrally linked in that the products of one reaction are the raw materials of the next.
7.1.0.0.1.11	These complex networks of reactions must be integrated and precisely controlled; when they are not, the result is malfunction and disease.
7.1.0.0.1.1	If different specialized cells, tissues, and organs provide for different needs of the multicellular organism, how are these specific services shared by the cells of the whole organism?
7.1.0.0.1.2	All of the cells of the body share an internal environment that is made up of extracellular fluids.
7.1.0.0.1.3	Cells derive their nutrients from these extracellular fluids, and they deposit their wastes into the extracellular fluid.
7.1.0.0.1.4	This internal environment serves the needs of all cells of the body, and therefore its physical and chemical composition must be maintained within a narrow range of physiological conditions that support survival and function.
7.1.0.0.1.5	The maintenance of this narrow range of conditions is known as homeostasis.
7.1.0.0.1.6	A relatively stable internal environment means that cells can function efficiently even when external conditions could not support the lives of individual cells. *Homeostasis requires that the activities of the cells and systems of the body be regulated.
7.1.0.0.1.7	Regulation requires information   information about internal conditions, external conditions, and what is optimal.
7.1.0.0.1.8	Thus organisms must have sensory mechanisms to monitor conditions, effector mechanisms to alter those conditions, and signaling mechanisms to integrate information and enable communication between sensors and effectors.
7.1.0.0.1.9	The major informational systems of animals   nervous, hormonal, and immune   use chemical and electrical signals to process information.
7.1.0.0.2.1	*connect the concepts The regulation of body temperature is an important example of homeostasis that is discussed in Chapter 40.
7.1.0.0.2.2	The concept of homeostasis also applies to the intracellular environment.
7.1.0.0.2.3	Both unicellular and multicellular organisms must regulate the composition of their intracellular environments within a range that allows those cells to survive and function.
7.1.0.0.2.4	Individual cells regulate these properties through actions of their membranes and, in the case of eukaryotes, their organelles.
7.1.0.0.2.5	Thus self-regulation to maintain a more or less constant internal environment is a general attribute of all life.
7.1.0.0.1.1	Organisms do not live in isolation.
7.1.0.0.1.2	Besides the internal hierarchy of the individual organism, there is also an external hierarchy of the biological world (Figure 1.10B).
7.1.0.0.1.3	The populations of all the species that live and interact in a defined area are called a community.
7.1.0.0.1.4	Communities together with their abiotic, or physical, environment constitute an ecosystem.
7.1.0.0.1.5	Individuals in a population interact in many different ways.
